Step,Random,Greedy,E-greedy (e=0.01),E-greedy (e=0.05),E-greedy (e=0.1)
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,2.0,1.0,1.0,1.0
6,2.0,2.0,2.0,2.0,2.0
7,3.0,2.0,3.0,3.0,3.0
8,3.0,3.0,4.0,4.0,4.0
9,4.0,3.0,4.0,4.0,5.0
10,4.0,4.0,5.0,4.0,6.0
11,4.0,5.0,6.0,5.0,7.0
12,4.0,6.0,7.0,6.0,8.0
13,5.0,7.0,8.0,7.0,8.0
14,5.0,7.0,8.0,8.0,9.0
15,6.0,8.0,9.0,9.0,10.0
16,6.0,9.0,10.0,9.0,11.0
17,6.0,10.0,11.0,10.0,11.0
18,6.0,11.0,12.0,11.0,12.0
19,6.0,12.0,13.0,12.0,13.0
