Step,Random,Greedy,E-greedy (e=0.01),E-greedy (e=0.05),E-greedy (e=0.1)
0,3,0,0,0,0
1,4,1,1,1,1
2,3,2,2,2,2
3,2,3,3,3,3
4,2,4,4,4,4
5,2,3,3,3,3
6,1,3,3,3,3
7,3,3,3,3,3
8,4,3,3,3,3
9,3,3,3,3,3
10,0,3,3,4,3
11,0,3,3,3,3
12,2,3,3,3,3
13,0,3,3,3,3
14,0,3,3,3,3
15,2,3,3,3,3
16,2,3,3,3,3
17,0,3,3,3,2
18,1,3,3,3,3
19,0,3,3,3,3
20,1,3,3,3,3
21,0,3,3,3,3
22,4,3,3,3,3
23,3,3,3,3,3
24,2,3,3,3,3
25,3,3,3,3,3
26,0,3,3,3,3
27,0,3,3,3,0
28,1,3,3,0,3
29,4,3,3,3,3
30,3,3,3,3,3
31,4,3,3,3,3
32,0,3,3,3,3
33,1,3,3,3,1
34,3,3,3,1,3
35,0,3,3,3,3
36,0,3,3,3,3
37,4,3,3,3,3
38,3,3,3,3,3
39,4,3,3,3,1
40,1,3,3,3,3
41,2,3,3,3,3
42,3,3,3,3,3
43,0,3,3,3,3
44,0,3,3,3,3
45,3,3,3,3,3
46,0,3,3,3,3
47,0,3,3,3,3
48,2,3,3,3,3
49,0,3,3,3,3
50,0,3,3,3,3
51,3,3,3,3,3
52,4,3,3,3,3
53,2,3,3,3,3
54,2,3,3,2,3
55,4,3,3,3,3
56,3,3,3,3,3
57,2,3,3,3,3
58,0,3,3,3,3
59,3,3,3,3,3
60,0,3,3,3,0
61,0,3,3,3,3
62,0,3,3,3,3
63,0,3,3,3,3
64,1,3,3,3,3
65,1,3,3,3,0
66,3,3,3,3,3
67,1,3,3,3,3
68,0,3,3,3,3
69,4,3,3,3,3
70,4,3,3,3,3
71,4,3,3,3,3
72,3,3,3,3,3
73,1,3,3,3,3
74,1,3,3,3,3
75,0,3,3,3,3
76,0,3,3,3,3
77,2,3,3,3,3
78,1,3,3,3,3
79,1,3,3,3,3
80,3,3,3,3,3
81,4,3,3,3,1
82,2,3,3,3,3
83,1,3,3,3,3
84,0,3,3,3,3
85,1,3,3,3,3
86,2,3,3,3,3
87,2,3,3,3,3
88,1,3,3,3,3
89,0,3,3,3,3
90,3,3,3,3,3
91,4,3,3,3,3
92,4,3,3,3,3
93,0,3,3,3,3
94,4,3,3,3,3
95,4,3,3,3,3
96,3,3,3,3,3
97,4,3,3,3,3
98,1,3,3,3,3
99,3,3,3,3,3
